,Name ,Replied by
1,sriyani Silva,Sedex
2,Thisen H. Fernando,Sedex
3,lahiru rathnayaka,Rifthy Moulana
4,PUNSANDA. ??? ????.,Sedex
5,Sadeep Lakshan Gamage,Sedex
6,Joseph Fernando,Thisen H. Fernando
7,Saumya Lakshani,Sedex
8,Vimukthi Rangika,Sedex
9,Kaushalya Deepani Wijesinghe,lahiru rathnayaka
10,__Ishu__ sewwandi,Sedex
11,Induwara Uyanage,Sedex
12,Hasith Ramanayaka,Hasith Ramanayaka
13,Rifthy Moulana,Sedex
14,Dr V & A Health tips,Sedex
15,KS thero,Induwara Uyanage
16,Asela Kandamby,Sedex
17,ranjan Thilak,Sedex
18,?N.W.T.K?,Sedex
19,Buddika Kasuni,ranjan Thilak
20,Hashen Jayasooriya,Sedex
21,"Rubber ducky, you're the one",Sedex
22,MJ A,Sedex
23,Nethmi Sansala,Sedex
24,Sak Awans,Ifadha Rizvi
25,Umsriyani,Sedex
26,Gadavillers Panoir,Sedex
27,Ifadha Rizvi,Sedex
28,Nalani Sriyalatha,Sedex
29,isuru wickramasinghe,vinod k
30,Sanjana De Silva,Sedex
31,Mohamed Shabith,Sedex
32,vinod k,Sedex
33,Imesha udeshani Imesha,Imesha udeshani Imesha
34,Mohamed Ammar,Sedex
